               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.024063,             0.01232,                   0,             0.88039,              0.8942,             0.90244,             0.67244,            0.021058,           0.0050794,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.024355,            0.012289,                   0,             0.88402,             0.88853,             0.90262,             0.67052,            0.020962,           0.0051343,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.024037,            0.012526,                   0,             0.87571,             0.89255,             0.89827,             0.66901,            0.020959,           0.0051447,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.023615,            0.012513,                   0,             0.87562,             0.89181,              0.8975,             0.66576,            0.021104,           0.0051669,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.023995,             0.01235,                   0,             0.87507,             0.89218,             0.89615,             0.66805,            0.021095,           0.0051475,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.023057,            0.011978,                   0,             0.87504,             0.89652,             0.89973,             0.66851,            0.021072,           0.0051478,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.023409,            0.012141,                   0,             0.87268,             0.89757,             0.90199,             0.67108,            0.020874,           0.0051587,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.023499,            0.012328,                   0,             0.86849,             0.90701,               0.903,             0.67155,            0.021039,           0.0051909,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.023105,             0.01209,                   0,             0.88782,             0.88529,              0.9029,             0.67265,             0.02103,           0.0052055,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.023494,            0.012082,                   0,             0.88934,             0.88208,              0.9048,             0.67537,            0.021095,           0.0051927,                   0,            0.006403,            0.006403,            0.006403
                 111,              0.0234,            0.012085,                   0,             0.87062,             0.90233,             0.90786,             0.67589,             0.02118,           0.0051916,                   0,             0.00637,             0.00637,             0.00637
